,,,,,,,,,w,f:t>e,f,f,f,f,f,f,w,f,f,f,w,f,f,f,w,f,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,f:t>e,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,f,f,f,f,f,f:b^button1,f:p>n,w,f,f,f,f,f,f,f:p>w,w,f:t>e,f,f,f,f,f,f:p>w,w,,,,,,,,
,,,,,,,,,w,f:p>n,f,f,f,f,f:p>n,f:p,w,f,f,f,f,f,f:p>w,f,w,f:t>e,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,w,f:d>n^door1,w,w,w,w,w,w,w,w,w,w,w,w,w,w,f:t>e,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,f:t>e,f,f,f,f,f,f,f,f,f,f,f,f,f:p>w,f,w,f:t>e,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,f:t>e,f,f,f,f,f,f,f,f,f,f,f,f,f,f:p>w,w,f:t>e,f,f,f,f,f,f:p>w,w,,,,,,,,
,,,,,,,,,w,f:t>e,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,f:t>e,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,f:p>e,f,f,f,f,f,f:p>n,w,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,f,f:p>n,f,f,f,f:p>n,f,w,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,w,w,w,w,w,w,w,w,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,f,f:p>e,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,f:p>e,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f:p>w,w,,,,,,,,
,,,,,,,,,w,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,f:p>e,f,f,f,f:b^button2,f,f,w,f:p>n,f,f,f,f,f,f,f:d^door2,f,f,f,f,f,f,f:p>w,w,,,,,,,,
,,,,,,,,,w,f,f:p>n,f,f,f,f,f,w,f,f:p>n,f,f,f,f,f,w,f,f,f,f,f,f:p>n,f,w,,,,,,,,
,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
,w,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,w,,,,,,,,w
,w,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,w
,w,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,w,,,,,,,,w
,w,,,,,,,,w,,,,,,,,w,,,,,,,,,,,,,,,,w,,,,,,,,w
,w,,,,,,,,w,,,,,,,,w,,,,,,,,,,,,,,,,w,,,,,,,,w
,w,,,,,,,,w,,,,,,,,w,,,,,,,,,,,,,,,,w,,,,,,,,w
,w,w,w,w,w,w,w,w,w,,,,,,,,w,,,,w,w,w,w,w,,,,,,,,w,w,w,w,w,w,w,w,w
,,,,,,,,,w,,,,,,,,w,,,,w,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,w,,,,w,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,w,,,,w,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,w,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,w,w,w,w,w,w,w,w,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,w,,,,,,,,,,,,,,,,w,,,,,,,,
,,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,w,,,,,,,,
,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,,,
